ID,sex,age,exposure,order,TP,parade_response,acc,lineup,corpus,parade,rt,conf,conf_rt
5ea8d86b3c7f5f34a1e32a0d,Female,28,15s,2,Present,2,1,W2,WYRED,six,6721.3,7,6057.855
5e07ac6415ef4012834b2b38,Female,24,15s,5,Present,0,0,D3,DYVIS,six,4654,6,9394
60460ba2bb53b901e3380246,Female,25,15s,5,Present,2,0,D2,DYVIS,six,11745,7,5698
6012d27152fa5e09eb6a29e0,Female,36,15s,0,Absent,0,1,W2,WYRED,six,13432.32,8,9557.73
5f0e0020edcfcf0fe90c4f62,Male,27,15s,0,Absent,3,0,D3,DYVIS,six,12721.24,3,6957.415
5f5b77140093332a1e4584f3,Male,35,15s,0,Absent,1,0,D1,DYVIS,six,9273.765,7,3345.68
5f3519c52c61cf45f186a7b9,Male,31,15s,0,Absent,3,0,W1,WYRED,six,5005.15,7,3746.005
5ec54a7637927134ac7d3dc3,Male,20,15s,0,Absent,3,0,D1,DYVIS,six,5200.995,8,2504.295
603ab5961f94c168254f7104,Female,22,15s,0,Absent,6,0,D2,DYVIS,six,11237.145,4,5004.945
5797564b70c76a0001245734,Male,33,15s,2,Present,2,1,W1,WYRED,six,6980.865,8,7224.885
596dfaa96685b30001afc6d5,Female,37,15s,2,Present,3,0,D1,DYVIS,six,7260.5,4,4107.665
5e7902515312ee4a99c22e53,Male,35,15s,0,Absent,1,0,W2,WYRED,six,9791.52,3,9321.375
5c35655f87b777000170d85a,Male,33,15s,0,Absent,0,1,YO,YORVIS,six,12298.05,10,15176.57
5e14d1136e8aababb1942673,Female,33,15s,0,Absent,0,1,D2,DYVIS,six,10466.775,6,10726.43
5f61e6998ee2cb18c229f328,Male,38,15s,5,Present,5,1,YO,YORVIS,six,23364.065,2,14378.77
5ff3a2554cfb7d507511d89f,Female,21,15s,2,Present,1,0,YO,YORVIS,six,6177.49,6,4366.295
55cdc77f34e90600128d237f,Female,35,15s,2,Present,5,0,D3,DYVIS,six,11309.625,8,4444.815
601b1ae7bcb06741d4a4804d,Male,18,30s,0,Absent,1,0,W1,WYRED,six,13219.64,4,15167.905
5fdbb3b4e66d7f061f78ea21,Female,31,30s,5,Present,2,0,YO,YORVIS,six,8545,3,7644
