subj,lineup,exposure,target,resp_expec,resp_given,conf,conf_cat,age,suspect_id,filler_id,no_id,is_target,say_target,is_corr
235,D3,15s,present,7,9,7,high,20,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
100,D2,15s,absent,0,6,6,med,20,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
23,D1,60s,present,3,3,5,med,22,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
68,W2,15s,absent,0,2,3,low,40,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
54,YO,60s,absent,0,8,6,med,35,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
171,D3,30s,present,3,3,4,med,21,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
184,YO,30s,absent,0,6,4,med,18,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
213,D3,15s,present,7,7,7,high,19,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
196,D1,60s,present,7,1,6,med,24,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
188,D2,30s,absent,0,2,4,med,33,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
134,W1,30s,absent,0,6,0,low,19,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
240,W2,15s,present,3,3,5,med,29,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
34,D3,15s,present,7,1,6,med,34,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
183,D1,30s,absent,0,6,5,med,36,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
42,D2,15s,present,7,3,6,med,39,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
82,YO,30s,present,3,2,4,med,25,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
51,W1,15s,absent,0,1,6,med,33,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
55,D1,15s,absent,0,3,4,med,29,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
119,D2,60s,present,3,3,8,high,28,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
138,D3,30s,absent,0,2,2,low,24,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
195,W1,15s,present,3,3,4,med,36,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
109,W2,15s,present,7,5,3,low,18,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
91,W1,30s,present,3,1,10,high,26,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
108,W2,30s,absent,0,2,2,low,30,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
3,YO,60s,present,3,6,5,med,32,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
99,D2,15s,present,3,7,5,med,30,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
260,D3,15s,absent,0,4,8,high,18,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
172,YO,30s,absent,0,2,8,high,36,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
193,W2,60s,absent,0,7,8,high,27,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
190,YO,60s,absent,0,4,3,low,22,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
225,W1,60s,absent,0,7,3,low,36,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
79,YO,15s,absent,0,1,6,med,35,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
143,D2,15s,absent,0,7,3,low,34,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
38,D2,30s,absent,0,0,5,med,36,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
257,D1,60s,absent,0,3,7,high,25,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
114,YO,15s,absent,0,4,3,low,26,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
162,W2,30s,absent,0,9,3,low,26,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
159,D1,15s,present,7,7,9,high,30,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
